gender,age,income,days_member,offer_received,offer_viewed,offer_completed,channel_web,channel_email,channel_mobile,channel_social,difficulty,duration,offered_reward,redeemed_reward,response_score,bogo_offer_received,disc_offer_received,info_offer_received,bogo_offer_viewed,disc_offer_viewed,info_offer_viewed,bogo_offer_completed,disc_offer_completed,info_offer_completed,bogo_response_score,disc_response_score,info_response_score,txn_overall,amt_overall,txn_promo,amt_promo,txn_nonpromo,amt_nonpromo,rfm_promo_score,rfm_nonpromo_score,amt_per_test_hour,amt_per_member_day,amt_per_income
0,55,112000.0,2996,2,0,0,2,2,2,0,2.5,5.5,2.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,77.01,1,23.22,2,53.79,4.67,2.67,0.107857,0.025704,0.000688
0,75,100000.0,3063,4,4,3,2,4,4,3,5.0,5.5,5.0,3.75,0.39,3.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.64,0.0,0.92,7,159.27,6,135.34,1,23.93,2.67,4.67,0.223067,0.051998,0.001593
1,68,70000.0,2711,4,3,2,4,4,4,1,6.25,7.0,2.25,1.75,0.34750000000000003,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.39,1.0,0.0,3,57.73,1,18.42,2,39.31,4.33,3.33,0.080854,0.021295,0.000825
1,65,53000.0,2787,6,6,5,6,6,6,3,6.666666666666667,6.833333333333333,4.0,3.1666666666666665,0.40499999999999997,2.0,2.0,0.0,2.0,2.0,0.0,1.5,2.0,0.0,0.6699999999999999,1.0899999999999999,0.0,3,36.43,3,36.43,0,0.0,1.67,0.0,0.051022,0.013071,0.000687
1,58,51000.0,2877,3,2,1,3,3,3,2,5.666666666666667,7.0,1.6666666666666667,0.6666666666666666,0.18333333333333335,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.55,0.0,4,15.62,4,15.62,0,0.0,2.33,0.0,0.021877,0.005429,0.000306
0,61,57000.0,2938,5,5,2,3,5,4,4,9.0,6.0,6.0,3.0,0.3,3.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,1.5,0.0,0.0,6,85.55,6,85.55,0,0.0,3.67,0.0,0.119818,0.029118,0.001501
1,26,46000.0,4244,6,1,0,5,6,3,1,15.0,8.5,4.833333333333333,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,56.22,11,56.22,0,0.0,3.0,0.0,0.078739,0.013247,0.001222
0,62,71000.0,3516,6,5,3,6,6,5,5,10.166666666666666,8.5,3.0,1.3333333333333333,0.38833333333333336,0.0,3.0,0.0,0.0,2.6666666666666665,0.0,0.0,1.1666666666666665,0.0,0.0,0.8799999999999999,0.0,8,160.25,8,160.25,0,0.0,3.33,0.0,0.22444,0.045577,0.002257
1,49,52000.0,3971,3,2,2,1,3,2,2,10.0,6.666666666666667,5.0,3.3333333333333335,0.5233333333333333,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.57,0.0,1.0,9,144.11,7,134.96,2,9.15,3.67,3.67,0.201835,0.036291,0.002771
1,57,42000.0,2827,5,1,1,5,5,4,1,7.4,7.0,3.6,0.6,0.057999999999999996,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.29,0.0,6,19.1,5,14.77,1,4.33,3.0,1.33,0.026751,0.006756,0.000455
